satellite,pidforest,0.7434992592976346
http,pidforest,0.994668112283853
wine,pidforest,0.9092436974789916
smtp,pidforest,0.8840336134453781
vowels,pidforest,0.7967354196301564
ionosphere,pidforest,0.8611816578483245
arrhythmia,pidforest,0.8295258282304915
glass,pidforest,0.7317073170731707
thyroid,pidforest,0.9779349227086603
speech,pidforest,0.5137297908422838
cardio,pidforest,0.892551840153804
shuttle,pidforest,0.9923594669712201
breastw,pidforest,0.9786036036036037
letter,pidforest,0.7486733333333333
optdigits,pidforest,0.9069252533228056
vertebral,pidforest,0.30944444444444447
lympho,pidforest,1.0
mammography,pidforest,0.8650300354227847
musk,pidforest,1.0
wbc,pidforest,0.9642523676137121
annthyroid,pidforest,0.8984696222431232
cover,pidforest,0.9442320662678625
satimage-2,pidforest,0.9938619855911464
mnist,pidforest,0.7018545766850851
pima,pidforest,0.6881492537313434
pendigits,pidforest,0.9559760317132971
satellite,DTM,0.7935829763060098
http,DTM,0.171331948553869
wine,DTM,0.8983193277310925
smtp,DTM,0.8983193277310925
vowels,DTM,0.9832005689900427
ionosphere,DTM,0.9310405643738976
arrhythmia,DTM,0.804953681896687
glass,DTM,0.8444444444444444
thyroid,DTM,0.9506060260648201
speech,DTM,0.5144511023176936
cardio,DTM,0.9555067289206263
shuttle,DTM,0.9634663877614218
breastw,DTM,0.9955331900938595
letter,DTM,0.8999466666666668
optdigits,DTM,0.7808922226608764
vertebral,DTM,0.36746031746031743
lympho,DTM,0.9941314553990611
mammography,DTM,0.8447605264825808
musk,DTM,1.0
wbc,DTM,0.9479791916766707
annthyroid,DTM,0.7362514341321772
cover,DTM,0.9315445801568704
satimage-2,DTM,0.9990687320012187
mnist,DTM,0.8629662051695949
pima,DTM,0.729776119402985
pendigits,DTM,0.9638680751281288
satellite,NNDAD,0.6218665297658736
satellite,WNN,0.7833610826893592
satellite,IF,0.6982710841140445
satellite,LOF,0.5654037732276178
satellite,OCSVM,0.6789550982965855
satellite,KNN,0.7080482660150926
smtp,NNDAD,0.9103217486982178
smtp,WNN,0.8511468999011838
smtp,IF,0.91009275417166
smtp,LOF,0.9358026897658543
smtp,OCSVM,0.7746220801883819
smtp,KNN,0.9343603921815977
arrhythmia,NNDAD,0.8010676715339927
arrhythmia,WNN,0.803619092479196
arrhythmia,IF,0.8151201130475743
arrhythmia,LOF,0.788860103626943
arrhythmia,OCSVM,0.7890171141466478
arrhythmia,KNN,0.805699481865285
lympho,NNDAD,0.9929577464788732
lympho,WNN,0.9941314553990611
lympho,IF,1.0
lympho,LOF,0.9941314553990611
lympho,OCSVM,0.9929577464788732
lympho,KNN,0.9953051643192489
mammography,NNDAD,0.8613138120690992
mammography,WNN,0.861415573349108
mammography,IF,0.8616472651215854
mammography,LOF,0.8213019105768351
mammography,OCSVM,0.8443165092711921
mammography,KNN,0.8461122965654687
cover,NNDAD,0.929708747623368
pima,NNDAD,0.7294531835205993
pima,WNN,0.7294531835205993
pima,IF,0.672689138576779
pima,LOF,0.6472509363295881
pima,OCSVM,0.6479625468164794
pima,KNN,0.7292359550561798
shuttle,NNDAD,0.9904549217452303
shuttle,WNN,0.9904549217452303
shuttle,IF,0.997636601330718
shuttle,LOF,0.5369392412300323
shuttle,OCSVM,0.9874245954204715
shuttle,KNN,0.7093476679687358
satellite,NNDAD,0.7367589170287262
satellite,WNN,0.785069633366122
satellite,IF,0.7105255693112873
satellite,LOF,0.5655267486292662
satellite,OCSVM,0.6790227027645178
satellite,KNN,0.7081552071802596
pendigits,NNDAD,0.8637345449128556
pendigits,WNN,0.9582068088324605
pendigits,IF,0.9582020343229938
pendigits,LOF,0.5437001302486182
pendigits,OCSVM,0.9606847792457802
pendigits,KNN,0.8605556765097953
satimage-2,NNDAD,0.9990489087026082
satimage-2,WNN,0.9990489087026082
satimage-2,IF,0.9943917562257159
satimage-2,LOF,0.5949850209264662
satimage-2,OCSVM,0.9966158844534665
satimage-2,KNN,0.9986040830570582
optdigits,NNDAD,0.44239815728858173
optdigits,WNN,0.6327620927936821
optdigits,IF,0.7410095426127016
optdigits,LOF,0.6658111220796314
optdigits,OCSVM,0.5673919052319842
optdigits,KNN,0.4188871339256334
mnist,NNDAD,0.8500873452829407
mnist,WNN,0.8610173034731133
mnist,IF,0.8111652937036884
mnist,LOF,0.7420271556898621
mnist,OCSVM,0.8226503704930248
mnist,KNN,0.8597617667756758
thyroid,NNDAD,0.9364164722529191
thyroid,WNN,0.9510545118607003
thyroid,IF,0.98115794582142
thyroid,LOF,0.946373964344811
thyroid,OCSVM,0.9275348336812317
thyroid,KNN,0.9509770387131856
vowels,NNDAD,0.9545338078291815
vowels,WNN,0.9831459074733098
vowels,IF,0.7851814946619217
vowels,LOF,0.9484839857651246
vowels,OCSVM,0.9535943060498222
vowels,KNN,0.9797010676156583
musk,NNDAD,0.24796233839235526
musk,WNN,0.9998173130972456
musk,IF,1.0
musk,LOF,0.5279019111860596
musk,OCSVM,1.0
musk,KNN,0.9970840359752671
wine,NNDAD,0.8860877684407096
wine,WNN,0.8860877684407096
wine,IF,0.8366013071895426
wine,LOF,0.9355742296918768
wine,OCSVM,0.7180205415499533
wine,KNN,0.9290382819794585
cardio,NNDAD,0.898534544355282
cardio,WNN,0.9518076014070573
cardio,IF,0.9256176486753875
cardio,LOF,0.7467159503132901
cardio,OCSVM,0.932226970429812
cardio,KNN,0.9202123639661428
wbc,NNDAD,0.9476993044408775
wbc,WNN,0.9476993044408775
wbc,IF,0.9372659176029962
wbc,LOF,0.9491706795077581
wbc,OCSVM,0.946629213483146
