abalone,1,5.22e-01,-6.52e-01,5.02e+01,9.00e+00,0
abalone,1,5.51e-01,-6.23e-01,5.42e+01,9.00e+00,1
abalone,1,5.51e-01,-6.23e-01,5.50e+01,9.00e+00,2
abalone,1,5.51e-01,-6.23e-01,5.61e+01,9.00e+00,3
abalone,1,5.51e-01,-6.23e-01,5.68e+01,9.00e+00,4
abalone,3,-2.33e+00,-9.25e+01,1.41e+02,1.95e+03,0
abalone,3,-1.66e+00,-7.38e+01,1.31e+02,1.95e+03,1
abalone,3,-1.66e+00,-7.38e+01,1.30e+02,1.95e+03,2
abalone,3,-1.66e+00,-7.38e+01,1.30e+02,1.95e+03,3
abalone,3,-1.66e+00,-7.38e+01,1.29e+02,1.95e+03,4
abalone,4,-4.19e+00,-5.70e+02,1.86e+02,5.11e+02,0
abalone,4,-3.83e+00,-5.07e+02,1.95e+02,5.11e+02,1
abalone,4,-3.83e+00,-5.07e+02,1.91e+02,5.11e+02,2
abalone,4,-3.83e+00,-5.07e+02,1.91e+02,5.11e+02,3
abalone,4,-3.83e+00,-5.07e+02,1.92e+02,5.11e+02,4
abalone,6,4.19e+00,9.39e+05,3.41e+02,1.95e+03,0
abalone,6,-7.43e+00,-9.09e+04,3.42e+02,1.34e+02,1
abalone,6,-7.43e+00,-9.09e+04,3.40e+02,1.34e+02,2
abalone,6,-7.43e+00,-9.09e+04,3.39e+02,1.34e+02,3
abalone,6,-7.43e+00,-9.09e+04,3.39e+02,1.34e+02,4
australian,2,3.66e-02,-8.91e+00,4.08e+00,8.40e+01,0
australian,2,4.32e+00,-9.02e+00,3.47e+00,3.21e+02,1
australian,2,4.32e+00,-9.02e+00,4.15e+00,3.21e+02,2
australian,2,4.32e+00,-9.02e+00,4.19e+00,3.21e+02,3
australian,2,4.32e+00,-9.02e+00,4.10e+00,3.21e+02,4
australian,4,6.67e+00,-3.62e+04,8.48e+00,3.21e+02,0
australian,4,9.39e-01,-3.69e+04,8.10e+00,3.21e+02,1
australian,4,9.39e-01,-3.69e+04,8.65e+00,3.21e+02,2
australian,4,9.39e-01,-3.69e+04,8.69e+00,3.21e+02,3
australian,4,9.39e-01,-3.69e+04,8.60e+00,3.21e+02,4
australian,8,2.02e+02,-4.78e+10,1.92e+01,3.21e+02,0
australian,8,2.70e+02,-5.57e+10,1.96e+01,3.21e+02,1
australian,8,2.70e+02,-5.57e+10,1.97e+01,3.21e+02,2
australian,8,2.70e+02,-5.57e+10,1.82e+01,3.21e+02,3
australian,8,2.70e+02,-5.57e+10,1.97e+01,3.21e+02,4
australian,10,3.14e+02,-1.58e+12,2.54e+01,3.21e+02,0
australian,10,4.06e+02,-2.08e+09,2.58e+01,3.21e+02,1
australian,10,4.06e+02,-2.08e+09,2.40e+01,3.21e+02,2
australian,10,4.06e+02,-2.08e+09,2.35e+01,3.21e+02,3
australian,10,4.06e+02,-2.08e+09,2.45e+01,3.21e+02,4
breast-cancer,1,3.57e-01,-1.29e+00,1.96e+00,1.00e+00,0
breast-cancer,1,3.42e-01,-1.35e+00,2.14e+00,1.00e+00,1
breast-cancer,1,3.42e-01,-1.35e+00,2.24e+00,1.00e+00,2
breast-cancer,1,3.42e-01,-1.35e+00,2.12e+00,1.00e+00,3
breast-cancer,1,3.42e-01,-1.35e+00,1.77e+00,1.00e+00,4
breast-cancer,3,3.79e+02,-3.22e+02,6.56e+00,3.14e+02,0
breast-cancer,3,2.81e+02,-3.06e+02,6.27e+00,3.14e+02,1
breast-cancer,3,2.81e+02,-3.06e+02,6.64e+00,3.14e+02,2
breast-cancer,3,2.81e+02,-3.06e+02,6.36e+00,3.14e+02,3
breast-cancer,3,2.81e+02,-3.06e+02,6.59e+00,3.14e+02,4
breast-cancer,6,6.10e+02,-5.14e+06,1.34e+01,3.14e+02,0
breast-cancer,6,6.69e+02,-6.04e+06,1.43e+01,3.14e+02,1
breast-cancer,6,6.69e+02,-6.04e+06,1.47e+01,3.14e+02,2
breast-cancer,6,6.69e+02,-6.04e+06,1.45e+01,3.14e+02,3
breast-cancer,6,6.69e+02,-6.04e+06,1.41e+01,3.14e+02,4
breast-cancer,8,6.76e+02,-5.23e+09,2.00e+01,3.14e+02,0
breast-cancer,8,7.18e+02,-5.00e+09,1.97e+01,3.14e+02,1
breast-cancer,8,7.18e+02,-5.00e+09,1.84e+01,3.14e+02,2
